Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Global,2001,Malaria,Malaria,Both,All ages,3.10%,2.94%,3.31%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,Malaria,Malaria,Both,All ages,0.43%,0.32%,0.52%,GBD 2001,Communicable Diseases
Global,2002,Malaria,Malaria,Both,All ages,3.11%,2.97%,3.28%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,Malaria,Malaria,Both,All ages,0.40%,0.30%,0.51%,GBD 2002,Communicable Diseases
Global,2003,Malaria,Malaria,Both,All ages,3.12%,2.98%,3.28%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,Malaria,Malaria,Both,All ages,0.38%,0.28%,0.47%,GBD 2003,Communicable Diseases
Global,2004,Malaria,Malaria,Both,All ages,3.12%,2.98%,3.28%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,Malaria,Malaria,Both,All ages,0.37%,0.27%,0.44%,GBD 2004,Communicable Diseases
Global,2005,Malaria,Malaria,Both,All ages,3.12%,2.96%,3.31%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,Malaria,Malaria,Both,All ages,0.37%,0.26%,0.42%,GBD 2005,Communicable Diseases
Global,2006,Malaria,Malaria,Both,All ages,3.10%,2.97%,3.25%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,Malaria,Malaria,Both,All ages,0.41%,0.32%,0.46%,GBD 2006,Communicable Diseases
Global,2007,Malaria,Malaria,Both,All ages,3.02%,2.92%,3.15%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,Malaria,Malaria,Both,All ages,0.49%,0.43%,0.54%,GBD 2007,Communicable Diseases
Global,2008,Malaria,Malaria,Both,All ages,2.92%,2.84%,3.03%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,Malaria,Malaria,Both,All ages,0.59%,0.54%,0.64%,GBD 2008,Communicable Diseases
Global,2009,Malaria,Malaria,Both,All ages,2.82%,2.74%,2.90%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,Malaria,Malaria,Both,All ages,0.67%,0.63%,0.72%,GBD 2009,Communicable Diseases
Global,2010,Malaria,Malaria,Both,All ages,2.75%,2.65%,2.84%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,Malaria,Malaria,Both,All ages,0.71%,0.66%,0.75%,GBD 2010,Communicable Diseases
Global,2011,Malaria,Malaria,Both,All ages,2.66%,2.58%,2.74%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,Malaria,Malaria,Both,All ages,0.66%,0.62%,0.70%,GBD 2011,Communicable Diseases
Global,2012,Malaria,Malaria,Both,All ages,2.51%,2.44%,2.57%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,Malaria,Malaria,Both,All ages,0.56%,0.52%,0.59%,GBD 2012,Communicable Diseases
Global,2013,Malaria,Malaria,Both,All ages,2.33%,2.26%,2.40%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,Malaria,Malaria,Both,All ages,0.43%,0.40%,0.46%,GBD 2013,Communicable Diseases
Global,2014,Malaria,Malaria,Both,All ages,2.19%,2.11%,2.27%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,Malaria,Malaria,Both,All ages,0.32%,0.28%,0.35%,GBD 2014,Communicable Diseases
Global,2015,Malaria,Malaria,Both,All ages,2.12%,2.03%,2.23%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,Malaria,Malaria,Both,All ages,0.27%,0.22%,0.30%,GBD 2015,Communicable Diseases
Global,2016,Malaria,Malaria,Both,All ages,2.16%,2.04%,2.27%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,Malaria,Malaria,Both,All ages,0.28%,0.26%,0.30%,GBD 2016,Communicable Diseases
Global,2017,Malaria,Malaria,Both,All ages,2.25%,2.05%,2.47%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,Malaria,Malaria,Both,All ages,0.30%,0.28%,0.32%,GBD 2017,Communicable Diseases
Global,2018,Malaria,Malaria,Both,All ages,2.34%,2.14%,2.56%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,Malaria,Malaria,Both,All ages,0.30%,0.25%,0.39%,GBD 2018,Communicable Diseases
Global,2019,Malaria,Malaria,Both,All ages,2.43%,2.19%,2.73%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,Malaria,Malaria,Both,All ages,0.30%,0.17%,0.53%,GBD 2019,Communicable Diseases
Global,1990,TBC,Tuberculosis,Both,All ages,31.77%,28.85%,34.74%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,TBC,Tuberculosis,Both,All ages,36.49%,32.51%,40.62%,GBD 1990,Communicable Diseases
Global,1991,TBC,Tuberculosis,Both,All ages,31.48%,28.56%,34.46%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,TBC,Tuberculosis,Both,All ages,36.46%,32.45%,40.57%,GBD 1991,Communicable Diseases
Global,1992,TBC,Tuberculosis,Both,All ages,31.21%,28.30%,34.19%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,TBC,Tuberculosis,Both,All ages,36.43%,32.44%,40.52%,GBD 1992,Communicable Diseases
Global,1993,TBC,Tuberculosis,Both,All ages,30.98%,28.09%,33.94%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,TBC,Tuberculosis,Both,All ages,36.42%,32.40%,40.45%,GBD 1993,Communicable Diseases
Global,1994,TBC,Tuberculosis,Both,All ages,30.79%,27.90%,33.72%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,TBC,Tuberculosis,Both,All ages,36.42%,32.43%,40.40%,GBD 1994,Communicable Diseases
Global,1995,TBC,Tuberculosis,Both,All ages,30.64%,27.76%,33.58%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,TBC,Tuberculosis,Both,All ages,36.42%,32.41%,40.34%,GBD 1995,Communicable Diseases
Global,1996,TBC,Tuberculosis,Both,All ages,30.55%,27.69%,33.47%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,TBC,Tuberculosis,Both,All ages,36.44%,32.43%,40.42%,GBD 1996,Communicable Diseases
Global,1997,TBC,Tuberculosis,Both,All ages,30.50%,27.70%,33.37%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,TBC,Tuberculosis,Both,All ages,36.49%,32.49%,40.47%,GBD 1997,Communicable Diseases
Global,1998,TBC,Tuberculosis,Both,All ages,30.45%,27.74%,33.27%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,TBC,Tuberculosis,Both,All ages,36.54%,32.62%,40.38%,GBD 1998,Communicable Diseases
Global,1999,TBC,Tuberculosis,Both,All ages,30.38%,27.74%,33.13%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,TBC,Tuberculosis,Both,All ages,36.59%,32.66%,40.37%,GBD 1999,Communicable Diseases
Global,2000,TBC,Tuberculosis,Both,All ages,30.25%,27.63%,32.99%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,TBC,Tuberculosis,Both,All ages,36.63%,32.70%,40.41%,GBD 2000,Communicable Diseases
Global,2001,TBC,Tuberculosis,Both,All ages,30.00%,27.40%,32.76%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,TBC,Tuberculosis,Both,All ages,36.65%,32.71%,40.42%,GBD 2001,Communicable Diseases
Global,2002,TBC,Tuberculosis,Both,All ages,29.66%,27.12%,32.38%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,TBC,Tuberculosis,Both,All ages,36.68%,32.74%,40.46%,GBD 2002,Communicable Diseases
Global,2003,TBC,Tuberculosis,Both,All ages,29.27%,26.71%,31.93%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,TBC,Tuberculosis,Both,All ages,36.71%,32.75%,40.47%,GBD 2003,Communicable Diseases
Global,2004,TBC,Tuberculosis,Both,All ages,28.87%,26.36%,31.51%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,TBC,Tuberculosis,Both,All ages,36.73%,32.77%,40.43%,GBD 2004,Communicable Diseases
Global,2005,TBC,Tuberculosis,Both,All ages,28.51%,26.03%,31.15%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,TBC,Tuberculosis,Both,All ages,36.72%,32.77%,40.38%,GBD 2005,Communicable Diseases
Global,2006,TBC,Tuberculosis,Both,All ages,28.08%,25.65%,30.70%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,TBC,Tuberculosis,Both,All ages,36.68%,32.76%,40.36%,GBD 2006,Communicable Diseases
Global,2007,TBC,Tuberculosis,Both,All ages,27.54%,25.12%,30.15%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,TBC,Tuberculosis,Both,All ages,36.61%,32.73%,40.33%,GBD 2007,Communicable Diseases
Global,2008,TBC,Tuberculosis,Both,All ages,26.99%,24.57%,29.56%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,TBC,Tuberculosis,Both,All ages,36.53%,32.69%,40.27%,GBD 2008,Communicable Diseases
Global,2009,TBC,Tuberculosis,Both,All ages,26.51%,24.10%,29.10%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,TBC,Tuberculosis,Both,All ages,36.48%,32.64%,40.24%,GBD 2009,Communicable Diseases
Global,2010,TBC,Tuberculosis,Both,All ages,26.21%,23.80%,28.81%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,TBC,Tuberculosis,Both,All ages,36.46%,32.66%,40.25%,GBD 2010,Communicable Diseases
Global,2011,TBC,Tuberculosis,Both,All ages,26.07%,23.67%,28.66%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,TBC,Tuberculosis,Both,All ages,36.48%,32.70%,40.27%,GBD 2011,Communicable Diseases
Global,2012,TBC,Tuberculosis,Both,All ages,25.98%,23.58%,28.56%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,TBC,Tuberculosis,Both,All ages,36.52%,32.77%,40.34%,GBD 2012,Communicable Diseases
Global,2013,TBC,Tuberculosis,Both,All ages,25.92%,23.50%,28.47%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,TBC,Tuberculosis,Both,All ages,36.57%,32.92%,40.38%,GBD 2013,Communicable Diseases
Global,2014,TBC,Tuberculosis,Both,All ages,25.82%,23.41%,28.36%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,TBC,Tuberculosis,Both,All ages,36.62%,32.94%,40.47%,GBD 2014,Communicable Diseases
Global,2015,TBC,Tuberculosis,Both,All ages,25.67%,23.27%,28.18%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,TBC,Tuberculosis,Both,All ages,36.66%,32.98%,40.52%,GBD 2015,Communicable Diseases
Global,2016,TBC,Tuberculosis,Both,All ages,25.54%,23.18%,28.06%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,TBC,Tuberculosis,Both,All ages,36.63%,33.01%,40.44%,GBD 2016,Communicable Diseases
Global,2017,TBC,Tuberculosis,Both,All ages,25.35%,23.02%,27.90%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,TBC,Tuberculosis,Both,All ages,36.61%,32.91%,40.45%,GBD 2017,Communicable Diseases
Global,2018,TBC,Tuberculosis,Both,All ages,25.01%,22.70%,27.53%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,TBC,Tuberculosis,Both,All ages,36.63%,32.93%,40.48%,GBD 2018,Communicable Diseases
Global,2019,TBC,Tuberculosis,Both,All ages,24.59%,22.36%,27.05%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,TBC,Tuberculosis,Both,All ages,36.65%,32.85%,40.56%,GBD 2019,Communicable Diseases
Global,1990,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.73%,3.76%,5.78%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.36%,4.46%,6.31%,GBD 1990,Communicable Diseases
Global,1991,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.75%,3.78%,5.79%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.36%,4.49%,6.29%,GBD 1991,Communicable Diseases
Global,1992,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.78%,3.82%,5.80%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.36%,4.52%,6.26%,GBD 1992,Communicable Diseases
Global,1993,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.79%,3.85%,5.80%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.37%,4.54%,6.26%,GBD 1993,Communicable Diseases
Global,1994,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.81%,3.87%,5.80%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.38%,4.55%,6.24%,GBD 1994,Communicable Diseases
Global,1995,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.81%,3.89%,5.79%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.39%,4.56%,6.24%,GBD 1995,Communicable Diseases
Global,1996,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.80%,3.89%,5.78%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.41%,4.59%,6.28%,GBD 1996,Communicable Diseases
Global,1997,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.77%,3.86%,5.73%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.44%,4.61%,6.33%,GBD 1997,Communicable Diseases
Global,1998,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.72%,3.83%,5.68%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.49%,4.62%,6.40%,GBD 1998,Communicable Diseases
Global,1999,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.69%,3.80%,5.63%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.54%,4.66%,6.47%,GBD 1999,Communicable Diseases
Global,2000,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.67%,3.79%,5.60%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.60%,4.67%,6.56%,GBD 2000,Communicable Diseases
Global,2001,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.67%,3.79%,5.60%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.72%,4.78%,6.72%,GBD 2001,Communicable Diseases
Global,2002,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.68%,3.80%,5.59%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,5.93%,4.95%,6.97%,GBD 2002,Communicable Diseases
Global,2003,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.69%,3.82%,5.60%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.18%,5.14%,7.25%,GBD 2003,Communicable Diseases
Global,2004,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.69%,3.82%,5.59%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.41%,5.31%,7.53%,GBD 2004,Communicable Diseases
Global,2005,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.69%,3.82%,5.58%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.59%,5.43%,7.74%,GBD 2005,Communicable Diseases
Global,2006,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.68%,3.82%,5.58%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.73%,5.55%,7.88%,GBD 2006,Communicable Diseases
Global,2007,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.66%,3.80%,5.56%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.89%,5.68%,8.08%,GBD 2007,Communicable Diseases
Global,2008,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.65%,3.79%,5.55%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.05%,5.84%,8.24%,GBD 2008,Communicable Diseases
Global,2009,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.63%,3.77%,5.53%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.16%,5.96%,8.38%,GBD 2009,Communicable Diseases
Global,2010,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.62%,3.76%,5.52%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.21%,6.00%,8.42%,GBD 2010,Communicable Diseases
Global,2011,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.64%,3.77%,5.55%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.20%,5.95%,8.44%,GBD 2011,Communicable Diseases
Global,2012,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.69%,3.81%,5.62%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.14%,5.88%,8.45%,GBD 2012,Communicable Diseases
Global,2013,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.75%,3.85%,5.70%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.08%,5.80%,8.41%,GBD 2013,Communicable Diseases
Global,2014,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.80%,3.88%,5.77%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.02%,5.71%,8.41%,GBD 2014,Communicable Diseases
Global,2015,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.82%,3.89%,5.81%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,7.00%,5.66%,8.43%,GBD 2015,Communicable Diseases
Global,2016,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.78%,3.83%,5.79%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.99%,5.63%,8.41%,GBD 2016,Communicable Diseases
Global,2017,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.74%,3.78%,5.76%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.97%,5.61%,8.38%,GBD 2017,Communicable Diseases
Global,2018,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.74%,3.77%,5.81%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.78%,5.39%,8.21%,GBD 2018,Communicable Diseases
Global,2019,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,4.77%,3.75%,5.91%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,URTI <5 y.o.,Upper respiratory infections,Both,<5 years,6.37%,4.99%,7.94%,GBD 2019,Communicable Diseases
Global,1990,URTI,Upper respiratory infections,Both,All ages,3.35%,2.97%,3.78%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,URTI,Upper respiratory infections,Both,All ages,4.09%,3.63%,4.64%,GBD 1990,Communicable Diseases
Global,1991,URTI,Upper respiratory infections,Both,All ages,3.35%,2.98%,3.78%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,URTI,Upper respiratory infections,Both,All ages,4.08%,3.62%,4.62%,GBD 1991,Communicable Diseases
Global,1992,URTI,Upper respiratory infections,Both,All ages,3.35%,2.98%,3.77%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,URTI,Upper respiratory infections,Both,All ages,4.07%,3.62%,4.60%,GBD 1992,Communicable Diseases
Global,1993,URTI,Upper respiratory infections,Both,All ages,3.34%,2.97%,3.76%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,URTI,Upper respiratory infections,Both,All ages,4.06%,3.61%,4.59%,GBD 1993,Communicable Diseases
Global,1994,URTI,Upper respiratory infections,Both,All ages,3.34%,2.97%,3.75%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,URTI,Upper respiratory infections,Both,All ages,4.05%,3.61%,4.58%,GBD 1994,Communicable Diseases
Global,1995,URTI,Upper respiratory infections,Both,All ages,3.33%,2.96%,3.74%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,URTI,Upper respiratory infections,Both,All ages,4.05%,3.60%,4.58%,GBD 1995,Communicable Diseases
Global,1996,URTI,Upper respiratory infections,Both,All ages,3.32%,2.95%,3.73%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,URTI,Upper respiratory infections,Both,All ages,4.05%,3.60%,4.59%,GBD 1996,Communicable Diseases
Global,1997,URTI,Upper respiratory infections,Both,All ages,3.30%,2.94%,3.71%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,URTI,Upper respiratory infections,Both,All ages,4.06%,3.61%,4.60%,GBD 1997,Communicable Diseases
Global,1998,URTI,Upper respiratory infections,Both,All ages,3.29%,2.92%,3.70%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,URTI,Upper respiratory infections,Both,All ages,4.08%,3.62%,4.61%,GBD 1998,Communicable Diseases
Global,1999,URTI,Upper respiratory infections,Both,All ages,3.28%,2.91%,3.68%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,URTI,Upper respiratory infections,Both,All ages,4.09%,3.63%,4.62%,GBD 1999,Communicable Diseases
Global,2000,URTI,Upper respiratory infections,Both,All ages,3.27%,2.91%,3.67%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,URTI,Upper respiratory infections,Both,All ages,4.10%,3.64%,4.64%,GBD 2000,Communicable Diseases
Global,2001,URTI,Upper respiratory infections,Both,All ages,3.26%,2.90%,3.67%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,URTI,Upper respiratory infections,Both,All ages,4.09%,3.63%,4.62%,GBD 2001,Communicable Diseases
Global,2002,URTI,Upper respiratory infections,Both,All ages,3.26%,2.90%,3.66%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,URTI,Upper respiratory infections,Both,All ages,4.06%,3.61%,4.59%,GBD 2002,Communicable Diseases
Global,2003,URTI,Upper respiratory infections,Both,All ages,3.25%,2.90%,3.65%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,URTI,Upper respiratory infections,Both,All ages,4.02%,3.58%,4.55%,GBD 2003,Communicable Diseases
Global,2004,URTI,Upper respiratory infections,Both,All ages,3.25%,2.89%,3.65%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,URTI,Upper respiratory infections,Both,All ages,3.99%,3.54%,4.50%,GBD 2004,Communicable Diseases
Global,2005,URTI,Upper respiratory infections,Both,All ages,3.24%,2.89%,3.64%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,URTI,Upper respiratory infections,Both,All ages,3.97%,3.52%,4.48%,GBD 2005,Communicable Diseases
Global,2006,URTI,Upper respiratory infections,Both,All ages,3.24%,2.89%,3.63%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,URTI,Upper respiratory infections,Both,All ages,3.96%,3.51%,4.47%,GBD 2006,Communicable Diseases
Global,2007,URTI,Upper respiratory infections,Both,All ages,3.23%,2.88%,3.62%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,URTI,Upper respiratory infections,Both,All ages,3.95%,3.51%,4.46%,GBD 2007,Communicable Diseases
Global,2008,URTI,Upper respiratory infections,Both,All ages,3.22%,2.88%,3.62%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,URTI,Upper respiratory infections,Both,All ages,3.94%,3.50%,4.45%,GBD 2008,Communicable Diseases
Global,2009,URTI,Upper respiratory infections,Both,All ages,3.21%,2.87%,3.61%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,URTI,Upper respiratory infections,Both,All ages,3.94%,3.50%,4.45%,GBD 2009,Communicable Diseases
Global,2010,URTI,Upper respiratory infections,Both,All ages,3.20%,2.86%,3.60%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,URTI,Upper respiratory infections,Both,All ages,3.93%,3.50%,4.44%,GBD 2010,Communicable Diseases
Global,2011,URTI,Upper respiratory infections,Both,All ages,3.20%,2.86%,3.59%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,URTI,Upper respiratory infections,Both,All ages,3.91%,3.48%,4.43%,GBD 2011,Communicable Diseases
Global,2012,URTI,Upper respiratory infections,Both,All ages,3.20%,2.86%,3.59%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,URTI,Upper respiratory infections,Both,All ages,3.90%,3.46%,4.42%,GBD 2012,Communicable Diseases
Global,2013,URTI,Upper respiratory infections,Both,All ages,3.20%,2.86%,3.59%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,URTI,Upper respiratory infections,Both,All ages,3.88%,3.44%,4.41%,GBD 2013,Communicable Diseases
Global,2014,URTI,Upper respiratory infections,Both,All ages,3.19%,2.86%,3.58%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,URTI,Upper respiratory infections,Both,All ages,3.87%,3.42%,4.40%,GBD 2014,Communicable Diseases
Global,2015,URTI,Upper respiratory infections,Both,All ages,3.19%,2.86%,3.58%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,URTI,Upper respiratory infections,Both,All ages,3.86%,3.41%,4.38%,GBD 2015,Communicable Diseases
Global,2016,URTI,Upper respiratory infections,Both,All ages,3.18%,2.85%,3.56%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,URTI,Upper respiratory infections,Both,All ages,3.85%,3.41%,4.37%,GBD 2016,Communicable Diseases
Global,2017,URTI,Upper respiratory infections,Both,All ages,3.17%,2.84%,3.55%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,URTI,Upper respiratory infections,Both,All ages,3.85%,3.41%,4.37%,GBD 2017,Communicable Diseases
Global,2018,URTI,Upper respiratory infections,Both,All ages,3.17%,2.84%,3.55%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,URTI,Upper respiratory infections,Both,All ages,3.88%,3.44%,4.41%,GBD 2018,Communicable Diseases
Global,2019,URTI,Upper respiratory infections,Both,All ages,3.19%,2.85%,3.57%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,URTI,Upper respiratory infections,Both,All ages,3.93%,3.48%,4.46%,GBD 2019,Communicable Diseases
Global,1990,Asthma,Asthma,Both,All ages,4.40%,3.78%,5.21%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,Asthma,Asthma,Both,All ages,3.70%,3.12%,4.50%,GBD 1990,Non-Communicable Diseases
Global,1991,Asthma,Asthma,Both,All ages,4.31%,3.72%,5.07%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,Asthma,Asthma,Both,All ages,3.69%,3.12%,4.46%,GBD 1991,Non-Communicable Diseases
Global,1992,Asthma,Asthma,Both,All ages,4.23%,3.66%,4.95%,GBD 1992,Non-Communicable Diseases
